K0_number	Gene_identification	Label
K01409	KAE1, tsaD, QRI7; N6-L-threonylcarbamoyladenine synthase [EC:2.3.1.234]	KAE1, tsaD, QRI7; N6-L-threonylcarbamoyladenine synthase [EC:2.3.1.234]
K08876	SCYL1; SCY1-like protein 1	SCYL1; SCY1-like protein 1
K01053	E3.1.1.17, gnl, RGN; gluconolactonase [EC:3.1.1.17]	E3.1.1.17, gnl, RGN; gluconolactonase [EC:3.1.1.17]
K01714	dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]	dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]
K08052	NF1; neurofibromin 1	NF1; neurofibromin 1
K03016	RPB8, POLR2H; DNA-directed RNA polymerases I, II, and III subunit RPABC3	RPB8, POLR2H; DNA-directed RNA polymerases I, II, and III subunit RPABC3
K04603	GRM1; metabotropic glutamate receptor 1	GRM1; metabotropic glutamate receptor 1
K05236	COPA, RET1; coatomer subunit alpha	COPA, RET1; coatomer subunit alpha
K01934	MTHFS; 5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]	MTHFS; 5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]
K15201	GTP3C3, TFC4; general transcription factor 3C polypeptide 3 (transcription factor C subunit 4)	GTP3C3, TFC4; general transcription factor 3C polypeptide 3 (transcription factor C subunit 4)
K07513	ACAA1; acetyl-CoA acyltransferase 1 [EC:2.3.1.16]	Fatty acid breakdown
K15528	FAAH; fatty acid amide hydrolase [EC:3.5.1.99]	FAAH; fatty acid amide hydrolase [EC:3.5.1.99]
K00910	ADRBK, GRK; beta-adrenergic-receptor kinase [EC:2.7.11.15]	ADRBK, GRK; beta-adrenergic-receptor kinase [EC:2.7.11.15]
K10950	ERO1L; ERO1-like protein alpha [EC:1.8.4.-]	ERO1L; ERO1-like protein alpha [EC:1.8.4.-]
K14563	NOP1, FBL; rRNA 2'-O-methyltransferase fibrillarin [EC:2.1.1.-]	NOP1, FBL; rRNA 2'-O-methyltransferase fibrillarin [EC:2.1.1.-]
K07238	TC.ZIP, zupT, ZRT3, ZIP2; zinc transporter, ZIP family	TC.ZIP, zupT, ZRT3, ZIP2; zinc transporter, ZIP family
K15425	PPP4R2; serine/threonine-protein phosphatase 4 regulatory subunit 2	PPP4R2; serine/threonine-protein phosphatase 4 regulatory subunit 2
K06147	ABCB-BAC; ATP-binding cassette, subfamily B, bacterial	ABCB-BAC; ATP-binding cassette, subfamily B, bacterial
K08574	CAPN5; calpain-5 [EC:3.4.22.-]	CAPN5; calpain-5 [EC:3.4.22.-]
K03076	secY; preprotein translocase subunit SecY	secY; preprotein translocase subunit SecY
K07104	catE; catechol 2,3-dioxygenase [EC:1.13.11.2]	catE; catechol 2,3-dioxygenase [EC:1.13.11.2]
K14806	DDX31, DBP7; ATP-dependent RNA helicase DDX31/DBP7 [EC:3.6.4.13]	DDX31, DBP7; ATP-dependent RNA helicase DDX31/DBP7 [EC:3.6.4.13]
K07880	RAB4B; Ras-related protein Rab-4B	RAB4B; Ras-related protein Rab-4B
K01692	paaF, echA; enoyl-CoA hydratase [EC:4.2.1.17]	Fatty acid breakdown
K01692	paaF, echA; enoyl-CoA hydratase [EC:4.2.1.17]	paaF, echA; enoyl-CoA hydratase [EC:4.2.1.17]
K13106	BUD13, CWC26; pre-mRNA-splicing factor CWC26	BUD13, CWC26; pre-mRNA-splicing factor CWC26
K11717	sufS; cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]	sufS; cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]
K04351	RAPGEF4, EPAC2; Rap guanine nucleotide exchange factor 4	RAPGEF4, EPAC2; Rap guanine nucleotide exchange factor 4
K12301	SLC17A5; MFS transporter, ACS family, solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 5	SLC17A5; MFS transporter, ACS family, solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 5
K03354	APC7; anaphase-promoting complex subunit 7	APC7; anaphase-promoting complex subunit 7
K11590	MBD2; methyl-CpG-binding domain protein 2	MBD2; methyl-CpG-binding domain protein 2
K05756	ARPC3; actin related protein 2/3 complex, subunit 3	ARPC3; actin related protein 2/3 complex, subunit 3
K02214	CDC7; cell division control protein 7 [EC:2.7.11.1]	CDC7; cell division control protein 7 [EC:2.7.11.1]
K10772	APEX2; AP endonuclease 2 [EC:4.2.99.18]	APEX2; AP endonuclease 2 [EC:4.2.99.18]
K13119	FAM50, XAP5; protein FAM50	FAM50, XAP5; protein FAM50
K00099	dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]
K08371	CYB561D2; cytochrome b-561 domain containing protein 2	CYB561D2; cytochrome b-561 domain containing protein 2
K02949	RP-S11e, RPS11; small subunit ribosomal protein S11e	RP-S11e, RPS11; small subunit ribosomal protein S11e
K10904	TIPIN; TIMELESS-interacting protein	TIPIN; TIMELESS-interacting protein
K13830	ARO1; pentafunctional AROM polypeptide [EC:4.2.3.4 4.2.1.10 1.1.1.25 2.7.1.71 2.5.1.19]	ARO1; pentafunctional AROM polypeptide [EC:4.2.3.4 4.2.1.10 1.1.1.25 2.7.1.71 2.5.1.19]
K02929	RP-L44e, RPL44; large subunit ribosomal protein L44e	RP-L44e, RPL44; large subunit ribosomal protein L44e
K14778	DDX49, DBP8; ATP-dependent RNA helicase DDX49/DBP8 [EC:3.6.4.13]	DDX49, DBP8; ATP-dependent RNA helicase DDX49/DBP8 [EC:3.6.4.13]
K01228	GCS1; mannosyl-oligosaccharide glucosidase [EC:3.2.1.106]	GCS1; mannosyl-oligosaccharide glucosidase [EC:3.2.1.106]
K03955	NDUFAB1; NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1	NDUFAB1; NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1
K11142	LAP3; cytosol aminopeptidase [EC:3.4.11.1 3.4.11.5]	LAP3; cytosol aminopeptidase [EC:3.4.11.1 3.4.11.5]
K01218	gmuG; mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]	gmuG; mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]
K12397	AP3B; AP-3 complex subunit beta	AP3B; AP-3 complex subunit beta
K07456	mutS2; DNA mismatch repair protein MutS2	mutS2; DNA mismatch repair protein MutS2
K06889	K06889; uncharacterized protein	K06889; uncharacterized protein
K01065	AOAH; acyloxyacyl hydrolase [EC:3.1.1.77]	AOAH; acyloxyacyl hydrolase [EC:3.1.1.77]
K14962	WDR82, SWD2, CPS35; COMPASS component SWD2	WDR82, SWD2, CPS35; COMPASS component SWD2
K01528	DNM; dynamin GTPase [EC:3.6.5.5]	DNM; dynamin GTPase [EC:3.6.5.5]
K14826	FPR3_4; FK506-binding nuclear protein [EC:5.2.1.8]	FPR3_4; FK506-binding nuclear protein [EC:5.2.1.8]
K17505	PPM1K, PP2CM; protein phosphatase 1K [EC:3.1.3.16]	PPM1K, PP2CM; protein phosphatase 1K [EC:3.1.3.16]
K06994	K06994; putative drug exporter of the RND superfamily	K06994; putative drug exporter of the RND superfamily
K00565	RNMT; mRNA (guanine-N7-)-methyltransferase [EC:2.1.1.56]	RNMT; mRNA (guanine-N7-)-methyltransferase [EC:2.1.1.56]
K01594	CSAD; sulfinoalanine decarboxylase [EC:4.1.1.29]	CSAD; sulfinoalanine decarboxylase [EC:4.1.1.29]
K18643	KATNB1; katanin p80 WD40 repeat-containing subunit B1	KATNB1; katanin p80 WD40 repeat-containing subunit B1
K02325	POLE2; DNA polymerase epsilon subunit 2 [EC:2.7.7.7]	POLE2; DNA polymerase epsilon subunit 2 [EC:2.7.7.7]
K08017	AVIL; advillin	AVIL; advillin
K00003	E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3]	E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3]
K08840	TNIK; TRAF2 and NCK interacting kinase [EC:2.7.11.1]	TNIK; TRAF2 and NCK interacting kinase [EC:2.7.11.1]
K12376	ARSK; arylsulfatase K [EC:3.1.6.-]	ARSK; arylsulfatase K [EC:3.1.6.-]
K08287	E2.7.12.1; dual-specificity kinase [EC:2.7.12.1]	E2.7.12.1; dual-specificity kinase [EC:2.7.12.1]
K12755	MYL9; myosin regulatory light chain 9	MYL9; myosin regulatory light chain 9
K06189	corC; magnesium and cobalt transporter	corC; magnesium and cobalt transporter
K16531	BBS4; Bardet-Biedl syndrome 4 protein	BBS4; Bardet-Biedl syndrome 4 protein
K06917	selU; tRNA 2-selenouridine synthase [EC:2.9.1.-]	selU; tRNA 2-selenouridine synthase [EC:2.9.1.-]
K11653	ARID1; AT-rich interactive domain-containing protein 1	ARID1; AT-rich interactive domain-containing protein 1
K11731	atuD; citronellyl-CoA dehydrogenase [EC:1.3.99.-]	atuD; citronellyl-CoA dehydrogenase [EC:1.3.99.-]
K06874	K06874; zinc finger protein	K06874; zinc finger protein
K16675	ZDHHC9_14_18; palmitoyltransferase ZDHHC9/14/18 [EC:2.3.1.225]	ZDHHC9_14_18; palmitoyltransferase ZDHHC9/14/18 [EC:2.3.1.225]
K06947	GRC3, NOL9; polynucleotide 5'-hydroxyl-kinase GRC3/NOL9 [EC:2.7.1.-]	GRC3, NOL9; polynucleotide 5'-hydroxyl-kinase GRC3/NOL9 [EC:2.7.1.-]
K00303	soxB; sarcosine oxidase, subunit beta [EC:1.5.3.1]	soxB; sarcosine oxidase, subunit beta [EC:1.5.3.1]
K14849	RRP1; ribosomal RNA-processing protein 1	RRP1; ribosomal RNA-processing protein 1
K04953	CNGB3; cyclic nucleotide gated channel beta 3	CNGB3; cyclic nucleotide gated channel beta 3
K12490	ARAP3; Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3	ARAP3; Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3
K15196	BRF1, GTF3B; transcription factor IIIB 90 kDa subunit	BRF1, GTF3B; transcription factor IIIB 90 kDa subunit
K04771	degP, htrA; serine protease Do [EC:3.4.21.107]	degP, htrA; serine protease Do [EC:3.4.21.107]
K10330	ASB8; ankyrin repeat and SOCS box protein 8	ASB8; ankyrin repeat and SOCS box protein 8
K18277	tmm; trimethylamine monooxygenase [EC:1.14.13.148]	tmm; trimethylamine monooxygenase [EC:1.14.13.148]
K01787	RENBP; N-acylglucosamine 2-epimerase [EC:5.1.3.8]	RENBP; N-acylglucosamine 2-epimerase [EC:5.1.3.8]
K12816	CDC40, PRP17; pre-mRNA-processing factor 17	CDC40, PRP17; pre-mRNA-processing factor 17
K18171	CMC1; COX assembly mitochondrial protein 1	CMC1; COX assembly mitochondrial protein 1
K05762	RDX; radixin	RDX; radixin
K15759	IMPAD1, IMPA3; inositol monophosphatase 3 [EC:3.1.3.25 3.1.3.7]	IMPAD1, IMPA3; inositol monophosphatase 3 [EC:3.1.3.25 3.1.3.7]
K15376	GPHN; gephyrin [EC:2.10.1.1 2.7.7.75]	GPHN; gephyrin [EC:2.10.1.1 2.7.7.75]
K01853	CAS1; cycloartenol synthase [EC:5.4.99.8]	CAS1; cycloartenol synthase [EC:5.4.99.8]
K00920	PIP4K2; 1-phosphatidylinositol-5-phosphate 4-kinase [EC:2.7.1.149]	PIP4K2; 1-phosphatidylinositol-5-phosphate 4-kinase [EC:2.7.1.149]
K07762	PAPPA; pappalysin-1 [EC:3.4.24.79]	PAPPA; pappalysin-1 [EC:3.4.24.79]
K11097	SNRPE, SME; small nuclear ribonucleoprotein E	SNRPE, SME; small nuclear ribonucleoprotein E
K06130	LYPLA2; lysophospholipase II [EC:3.1.1.5]	LYPLA2; lysophospholipase II [EC:3.1.1.5]
K02959	RP-S16, MRPS16, rpsP; small subunit ribosomal protein S16	RP-S16, MRPS16, rpsP; small subunit ribosomal protein S16
K01427	URE; urease [EC:3.5.1.5]	URE; urease [EC:3.5.1.5]
K15509	hpsN; sulfopropanediol 3-dehydrogenase [EC:1.1.1.308]	hpsN; sulfopropanediol 3-dehydrogenase [EC:1.1.1.308]
K13107	RBMX2, IST3; RNA-binding motif protein, X-linked 2	RBMX2, IST3; RNA-binding motif protein, X-linked 2
K00641	metX; homoserine O-acetyltransferase [EC:2.3.1.31]	metX; homoserine O-acetyltransferase [EC:2.3.1.31]
K06875	PDCD5, TFAR19; programmed cell death protein 5	PDCD5, TFAR19; programmed cell death protein 5
K04560	STX1A; syntaxin 1A	STX1A; syntaxin 1A
K08536	NR1H3, LXRA; liver X receptor alpha	NR1H3, LXRA; liver X receptor alpha
K06173	truA, PUS1; tRNA pseudouridine38-40 synthase [EC:5.4.99.12]	truA, PUS1; tRNA pseudouridine38-40 synthase [EC:5.4.99.12]
K05359	ADT, PDT; arogenate/prephenate dehydratase [EC:4.2.1.91 4.2.1.51]	ADT, PDT; arogenate/prephenate dehydratase [EC:4.2.1.91 4.2.1.51]
K06236	COL1A; collagen, type I, alpha	COL1A; collagen, type I, alpha
K12310	CTBS; Di-N-acetylchitobiase [EC:3.2.1.-]	CTBS; Di-N-acetylchitobiase [EC:3.2.1.-]
K11295	HMGB2; high mobility group protein B2	HMGB2; high mobility group protein B2
K09660	MPDU1; mannose-P-dolichol utilization defect 1	MPDU1; mannose-P-dolichol utilization defect 1
K03027	RPC40, POLR1C; DNA-directed RNA polymerases I and III subunit RPAC1	RPC40, POLR1C; DNA-directed RNA polymerases I and III subunit RPAC1
K10422	CLIP2, CYLN2; CAP-Gly domain-containing linker protein 2	CLIP2, CYLN2; CAP-Gly domain-containing linker protein 2
K03661	ATPeV0B, ATP6F; V-type H+-transporting ATPase 21kDa proteolipid subunit	V-type ATPase
K14077	TPCN2; two pore calcium channel protein 2	TPCN2; two pore calcium channel protein 2
K15118	SLC25A38; solute carrier family 25, member 38	SLC25A38; solute carrier family 25, member 38
K16343	PLA2G6, IPLA2; calcium-independent phospholipase A2 [EC:3.1.1.4]	PLA2G6, IPLA2; calcium-independent phospholipase A2 [EC:3.1.1.4]
K06901	pbuG; putative MFS transporter, AGZA family, xanthine/uracil permease	pbuG; putative MFS transporter, AGZA family, xanthine/uracil permease
K10703	PHS1, PAS2; very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase [EC:4.2.1.134]	Fatty acid biosynthesis
K00793	ribE, RIB5; riboflavin synthase [EC:2.5.1.9]	ribE, RIB5; riboflavin synthase [EC:2.5.1.9]
K01439	dapE; succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]	dapE; succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]
K14164	glyQS; glycyl-tRNA synthetase [EC:6.1.1.14]	glyQS; glycyl-tRNA synthetase [EC:6.1.1.14]
K07560	dtd, DTD1; D-tyrosyl-tRNA(Tyr) deacylase [EC:3.1.-.-]	dtd, DTD1; D-tyrosyl-tRNA(Tyr) deacylase [EC:3.1.-.-]
K11456	PHC1, EDR1; polyhomeotic-like protein 1	PHC1, EDR1; polyhomeotic-like protein 1
K13138	INTS1; integrator complex subunit 1	INTS1; integrator complex subunit 1
K07404	pgl; 6-phosphogluconolactonase [EC:3.1.1.31]	pgl; 6-phosphogluconolactonase [EC:3.1.1.31]
K16529	ARHGEF13; A-kinase anchor protein 13	ARHGEF13; A-kinase anchor protein 13
K08837	STK10, LOK; serine/threonine kinase 10 [EC:2.7.11.1]	STK10, LOK; serine/threonine kinase 10 [EC:2.7.11.1]
K05356	SPS, sds; all-trans-nonaprenyl-diphosphate synthase [EC:2.5.1.84 2.5.1.85]	SPS, sds; all-trans-nonaprenyl-diphosphate synthase [EC:2.5.1.84 2.5.1.85]
K09486	HYOU1; hypoxia up-regulated 1	HYOU1; hypoxia up-regulated 1
K08056	PDIA3, GRP58; protein disulfide isomerase family A, member 3 [EC:5.3.4.1]	PDIA3, GRP58; protein disulfide isomerase family A, member 3 [EC:5.3.4.1]
K07442	TRM61, GCD14; tRNA (adenine57-N1/adenine58-N1)-methyltransferase catalytic subunit [EC:2.1.1.219 2.1.1.220]	TRM61, GCD14; tRNA (adenine57-N1/adenine58-N1)-methyltransferase catalytic subunit [EC:2.1.1.219 2.1.1.220]
K17498	SPN1, IWS1; transcription factor SPN1	SPN1, IWS1; transcription factor SPN1
K15261	PARP10_14_15; poly [ADP-ribose] polymerase 10/14/15 [EC:2.4.2.30]	PARP10_14_15; poly [ADP-ribose] polymerase 10/14/15 [EC:2.4.2.30]
K09569	FKBP2; FK506-binding protein 2 [EC:5.2.1.8]	FKBP2; FK506-binding protein 2 [EC:5.2.1.8]
K14554	UTP21, WDR36; U3 small nucleolar RNA-associated protein 21	UTP21, WDR36; U3 small nucleolar RNA-associated protein 21
K01563	dhaA; haloalkane dehalogenase [EC:3.8.1.5]	dhaA; haloalkane dehalogenase [EC:3.8.1.5]
K04561	norB; nitric oxide reductase subunit B [EC:1.7.2.5]	norB; nitric oxide reductase subunit B [EC:1.7.2.5]
K11322	EPC; enhancer of polycomb-like protein	EPC; enhancer of polycomb-like protein
K02433	gatA, QRSL1; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]	gatA, QRSL1; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]
K10733	GINS2, PSF2; GINS complex subunit 2	GINS2, PSF2; GINS complex subunit 2
K00915	IPMK, IPK2; inositol-polyphosphate multikinase [EC:2.7.1.140 2.7.1.151]	IPMK, IPK2; inositol-polyphosphate multikinase [EC:2.7.1.140 2.7.1.151]
K12398	AP3M; AP-3 complex subunit mu	AP3M; AP-3 complex subunit mu
K01588	purE; 5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]	purE; 5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]
K15627	ASPSCR1, ASPL; tether containing UBX domain for GLUT4	ASPSCR1, ASPL; tether containing UBX domain for GLUT4
K05729	ARHGEF6, PIXA; Rho guanine nucleotide exchange factor 6	ARHGEF6, PIXA; Rho guanine nucleotide exchange factor 6
K14079	PAPD4, GLD2; poly(A) RNA polymerase GLD2 [EC:2.7.7.19]	PAPD4, GLD2; poly(A) RNA polymerase GLD2 [EC:2.7.7.19]
K01805	xylA; xylose isomerase [EC:5.3.1.5]	xylA; xylose isomerase [EC:5.3.1.5]
K05607	AUH; methylglutaconyl-CoA hydratase [EC:4.2.1.18]	AUH; methylglutaconyl-CoA hydratase [EC:4.2.1.18]
K04857	CACNA1S; voltage-dependent calcium channel L type alpha-1S	CACNA1S; voltage-dependent calcium channel L type alpha-1S
K02131	ATPeF0F6, ATP5J; F-type H+-transporting ATPase subunit 6	ATPeF0F6, ATP5J; F-type H+-transporting ATPase subunit 6
K08133	COL14A; collagen, type XIV, alpha	COL14A; collagen, type XIV, alpha
K00392	sir; sulfite reductase (ferredoxin) [EC:1.8.7.1]	sir; sulfite reductase (ferredoxin) [EC:1.8.7.1]
K03880	ND3; NADH-ubiquinone oxidoreductase chain 3 [EC:1.6.5.3]	ND3; NADH-ubiquinone oxidoreductase chain 3 [EC:1.6.5.3]
K13291	TUT; terminal uridylyltransferase [EC:2.7.7.52]	TUT; terminal uridylyltransferase [EC:2.7.7.52]
K09052	CREM; cAMP response element modulator	CREM; cAMP response element modulator
K02216	CHK1; serine/threonine-protein kinase Chk1 [EC:2.7.11.1]	CHK1; serine/threonine-protein kinase Chk1 [EC:2.7.11.1]
K06698	PSME3; proteasome activator subunit 3 (PA28 gamma)	PSME3; proteasome activator subunit 3 (PA28 gamma)
K05460	HGF; hepatocyte growth factor	HGF; hepatocyte growth factor
K15161	CCNC, SSN8; cyclin C	CCNC, SSN8; cyclin C
K12198	CHMP5, VPS60; charged multivesicular body protein 5	CHMP5, VPS60; charged multivesicular body protein 5
K10863	APTX; aprataxin [EC:3.-.-.-]	APTX; aprataxin [EC:3.-.-.-]
K08132	COL12A; collagen, type XII, alpha	COL12A; collagen, type XII, alpha
K19054	FXN; frataxin [EC:1.16.3.1]	FXN; frataxin [EC:1.16.3.1]
K02551	menD; 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase [EC:2.2.1.9]	menD; 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase [EC:2.2.1.9]
K09517	DNAJB11; DnaJ homolog subfamily B member 11	DNAJB11; DnaJ homolog subfamily B member 11
K10877	RAD54B; DNA repair and recombination protein RAD54B [EC:3.6.4.-]	RAD54B; DNA repair and recombination protein RAD54B [EC:3.6.4.-]
K09848	TRAF4; TNF receptor-associated factor 4	TRAF4; TNF receptor-associated factor 4
K04851	CACNA1D; voltage-dependent calcium channel L type alpha-1D	CACNA1D; voltage-dependent calcium channel L type alpha-1D
K11847	USP19; ubiquitin carboxyl-terminal hydrolase 19 [EC:3.4.19.12]	USP19; ubiquitin carboxyl-terminal hydrolase 19 [EC:3.4.19.12]
K05661	ABCB6; ATP-binding cassette, subfamily B (MDR/TAP), member 6	ABCB6; ATP-binding cassette, subfamily B (MDR/TAP), member 6
K08618	ADAMTS2; a disintegrin and metalloproteinase with thrombospondin motifs 2 [EC:3.4.24.14]	ADAMTS2; a disintegrin and metalloproteinase with thrombospondin motifs 2 [EC:3.4.24.14]
K03575	mutY; A/G-specific adenine glycosylase [EC:3.2.2.-]	mutY; A/G-specific adenine glycosylase [EC:3.2.2.-]
K06126	COQ6; ubiquinone biosynthesis monooxygenase Coq6 [EC:1.14.13.-]	COQ6; ubiquinone biosynthesis monooxygenase Coq6 [EC:1.14.13.-]
K00865	glxK, garK; glycerate 2-kinase [EC:2.7.1.165]	glxK, garK; glycerate 2-kinase [EC:2.7.1.165]
K08834	MYO3, DFNB30; myosin III [EC:2.7.11.1]	MYO3, DFNB30; myosin III [EC:2.7.11.1]
K06978	K06978; uncharacterized protein	K06978; uncharacterized protein
K06753	ROBO1; roundabout, axon guidance receptor 1	ROBO1; roundabout, axon guidance receptor 1
K19941	SYN; synapsin	SYN; synapsin
K00953	FLAD1; FAD synthetase [EC:2.7.7.2]	FLAD1; FAD synthetase [EC:2.7.7.2]
K00928	lysC; aspartate kinase [EC:2.7.2.4]	lysC; aspartate kinase [EC:2.7.2.4]
K09710	ybeB; ribosome-associated protein	ybeB; ribosome-associated protein
K02677	PRKCA; classical protein kinase C alpha type [EC:2.7.11.13]	PRKCA; classical protein kinase C alpha type [EC:2.7.11.13]
K11858	USP48; ubiquitin carboxyl-terminal hydrolase 48 [EC:3.4.19.12]	USP48; ubiquitin carboxyl-terminal hydrolase 48 [EC:3.4.19.12]
K05092	FLT3, FLK2, CD135; fms-related tyrosine kinase 3 [EC:2.7.10.1]	FLT3, FLK2, CD135; fms-related tyrosine kinase 3 [EC:2.7.10.1]
K18081	MTMR1_2; myotubularin-related protein 1/2 [EC:3.1.3.64 3.1.3.95]	MTMR1_2; myotubularin-related protein 1/2 [EC:3.1.3.64 3.1.3.95]
K01899	LSC1; succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5]	TCA cycle
K01899	LSC1; succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5]	LSC1; succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5]
K15153	MED31, SOH1; mediator of RNA polymerase II transcription subunit 31	MED31, SOH1; mediator of RNA polymerase II transcription subunit 31
K07766	E3.6.1.52; diphosphoinositol-polyphosphate diphosphatase [EC:3.6.1.52]	E3.6.1.52; diphosphoinositol-polyphosphate diphosphatase [EC:3.6.1.52]
K19931	LIN7; protein lin-7	LIN7; protein lin-7
K14437	CHD7; chromodomain-helicase-DNA-binding protein 7 [EC:3.6.4.12]	CHD7; chromodomain-helicase-DNA-binding protein 7 [EC:3.6.4.12]
K06584	ITGA8; integrin alpha 8	ITGA8; integrin alpha 8
K07511	ECHS1; enoyl-CoA hydratase [EC:4.2.1.17]	ECHS1; enoyl-CoA hydratase [EC:4.2.1.17]
K07511	ECHS1; enoyl-CoA hydratase [EC:4.2.1.17]	Fatty acid biosynthesis
K07511	ECHS1; enoyl-CoA hydratase [EC:4.2.1.17]	Fatty acid breakdown
K13341	PEX7, PTS2R; peroxin-7	PEX7, PTS2R; peroxin-7
K08548	NR2F2, TFCOUP2; COUP transcription factor 2	NR2F2, TFCOUP2; COUP transcription factor 2
K14398	CPSF6_7; cleavage and polyadenylation specificity factor subunit 6/7	CPSF6_7; cleavage and polyadenylation specificity factor subunit 6/7
K09268	SOX4_11_12; transcription factor SOX4/11/12 (SOX group C)	SOX4_11_12; transcription factor SOX4/11/12 (SOX group C)
